trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode,z_score
2019-01-01 01:41:22,4060579726528237,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,636.41,Steven,Sanders,M,25955 Amy Via,Ozawkie,KS,66070,39.2136,-95.4404,2661,Theatre director,1948-11-14,25240538cb76fe0e9f55c3eb2c5e3bf9,1325382082,39.936995,-94.604311,0,64494,3.5308941612312403
2019-01-01 02:54:10,4311368326621416041,fraud_Kassulke PLC,shopping_net,1055.47,Phillip,Delacruz,M,26678 Lisa Locks Apt. 904,Iliff,CO,80736,40.7692,-103.0968,648,Community arts worker,1969-09-21,adca67d0a40b26fb8afeccbae31b7828,1325386450,39.940564,-103.528231,0,80757,6.144855956532396
2019-01-01 03:51:28,571844099986,fraud_Heathcote LLC,shopping_net,909.66,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1952-04-02,ecea96ae40920997dd56b4e0b408d623,1325389888,39.081318,-86.30158,0,47448,5.235339969864946
2019-01-01 06:43:54,4509142395811241,fraud_McGlynn-Heathcote,misc_net,1636.87,Margaret,Williams,F,165 Jerry Meadows Suite 460,Surrency,GA,31563,31.6489,-82.1982,1324,"Engineer, technical sales",1926-07-12,9b13fb1ce565b55afe4106ecdee9346b,1325400234,31.608415,-83.145823,0,31774,9.771442573694836
2019-01-01 09:23:55,4265776278887457,"fraud_Rippin, Kub and Mann",misc_net,1047.52,Christine,Best,F,68248 Deanna Land,Enola,AR,72047,35.2087,-92.2123,969,"Physicist, medical",1954-01-05,bb5654f0f82ace48aa6e4f45db7c64c5,1325409835,34.887449,-92.623326,0,72135,6.095266407845706
2019-01-01 09:51:52,5501083170975659,fraud_Metz-Boehm,shopping_pos,658.55,Wayne,Payne,M,587 Bradley Inlet Suite 281,Cuyahoga Falls,OH,44223,41.1464,-81.5107,47772,Equities trader,1966-01-04,18aabe3c70bcb95b9784198042b824ac,1325411512,40.229232,-82.34061899999999,0,43037,3.668996376064361
2019-01-01 09:53:44,38580485618059,fraud_Mohr-Bayer,shopping_net,767.18,Teresa,Clark,F,1323 Derek Mission,Noonan,ND,58765,48.8856,-103.0098,248,Industrial/product designer,1968-05-13,870bcb4a789f5afcbf32fbe3f49abe89,1325411624,49.342568,-103.496454,0,-1,4.346595454534185
2019-01-01 10:29:29,630469040731,fraud_Auer-West,shopping_net,1433.54,Meredith,Ayala,F,7107 Henderson Station,Cascade Locks,OR,97014,45.67100000000001,-121.8686,1288,Barrister,1936-05-01,cdf73aea45a42592972ad9668315b8c2,1325413769,45.873314,-121.589038,0,98672,8.503135286340797
2019-01-01 15:54:32,630424987505,fraud_Pacocha-Bauch,shopping_pos,776.98,Jennifer,Black,F,2870 Bean Terrace Apt. 756,Thomas,WV,26292,39.1505,-79.503,836,Forensic psychologist,1981-08-29,c654671b2ab1967cb230c64afd359e6a,1325433272,39.093215,-79.128672,0,26833,4.4077247095190355
2019-01-01 16:16:10,3528407217576457,fraud_Denesik and Sons,shopping_pos,1025.38,Patricia,Leach,F,71309 Martinez Stravenue,Kingsport,TN,37663,36.4715,-82.4834,87124,Warden/ranger,1987-02-14,5cebc54b90d0a21e72fa18f6429a11d4,1325434570,37.421987,-81.8734,0,24873,5.957164193012587
2019-01-01 18:51:15,341546199006537,fraud_Boyer-Haley,travel,3178.51,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",1939-11-09,7083124580d6a391d678fb76b67a1ebb,1325443875,64.396477,-165.209648,0,-1,19.387698150719782
2019-01-01 19:26:08,213191402330021,fraud_Sawayn PLC,shopping_pos,672.79,Thomas,Sullivan,M,464 Newman Crossroad,Milwaukee,WI,53228,42.9676,-88.0434,817312,"Accountant, chartered public finance",2004-03-18,df45bbd3db89b6c7abf8a0955786eea7,1325445968,42.730402000000005,-88.158037,0,53139,3.7578209261647966
2019-01-01 21:34:03,3556613125071656,"fraud_Gottlieb, Considine and Schultz",shopping_net,704.59,Jose,Vasquez,M,572 Davis Mountains,Lake Jackson,TX,77566,29.0393,-95.4401,28739,Futures trader,1999-12-27,3365c5a9e2cfbe1f442be14d11b9002c,1325453643,28.515471,-96.157095,0,-1,3.9561791209115555
2019-01-02 03:31:03,180084576295055,fraud_Lebsack and Sons,misc_net,608.84,David,Kirby,M,133 Alyssa Plains,Lolita,TX,77971,28.7724,-96.4793,911,Archaeologist,1970-01-18,12c28f40c0ecda502e8b8af6f51d7aad,1325475063,28.254624,-97.322892,0,78393,3.358921348993249
2019-01-02 04:24:00,6517217825320610,fraud_Predovic Inc,shopping_net,666.41,James,Reese,M,26975 Richardson Mills Apt. 402,Sontag,MS,39665,31.6453,-90.1801,1196,"Librarian, academic",1958-06-11,2b5dfad32ba429f2ed6eaab66505d875,1325478240,31.003582,-90.781023,0,-1,3.718024533633843
2019-01-02 06:11:04,3596357274378601,fraud_Klocko LLC,misc_net,727.3,David,Everett,M,4138 David Fall,Morrisdale,PA,16858,41.0001,-78.2357,3688,Advice worker,1973-05-27,d86eb9548a3fff0477664d153c50f9ee,1325484664,41.966633,-77.488004,0,16918,4.097836812820326
2019-01-02 07:04:23,3517527805128735,fraud_Bednar Group,misc_net,785.98,Tracy,Conway,F,6778 Campos Field,Bonfield,IL,60913,41.1573,-88.0619,1617,Medical secretary,1990-04-25,05046a44a95c26b0390896744ef5961b,1325487863,40.242491,-88.113635,0,61878,4.4638638212398165
